"year","month","total_Layoffs"
2023,1,84714.0
2023,2,36493.0
2023,3,4470.0
2022,1,510.0
2022,2,3685.0
2022,3,5714.0
2022,4,4128.0
2022,5,12885.0
2022,6,17394.0
2022,7,16223.0
2022,8,12975.0
2022,9,5681.0
2022,10,17406.0
2022,11,53392.0
2022,12,10329.0
2021,1,6813.0
2021,2,868.0
2021,3,47.0
2021,4,261.0
2021,6,2434.0
2021,7,80.0
2021,8,1867.0
2021,9,161.0
2021,10,22.0
2021,11,2070.0
2021,12,1200.0
2020,3,9628.0
2020,4,26710.0
2020,5,25804.0
2020,6,7627.0
2020,7,7112.0
2020,8,1969.0
2020,9,609.0
2020,10,450.0
2020,11,237.0
2020,12,852.0
0,0,500.0
