"Period","total_Layoffs","Rolling_total_layoffs","total_funds_raised","Rolling_total_funds_raised"
"2020-03",9628.0,9628.0,17859.0,17859.0
"2020-04",26710.0,36338.0,51671.0,69530.0
"2020-05",25804.0,62142.0,129506.0,199036.0
"2020-06",7627.0,69769.0,71649.0,270685.0
"2020-07",7112.0,76881.0,5146.0,275831.0
"2020-08",1969.0,78850.0,1059.0,276890.0
"2020-09",609.0,79459.0,1007.0,277897.0
"2020-10",450.0,79909.0,3065.0,280962.0
"2020-11",237.0,80146.0,326.0,281288.0
"2020-12",852.0,80998.0,3683.0,284971.0
"2021-01",6813.0,87811.0,13093.0,298064.0
"2021-02",868.0,88679.0,2013.0,300077.0
"2021-03",47.0,88726.0,37.0,300114.0
"2021-04",261.0,88987.0,518.0,300632.0
"2021-06",2434.0,91421.0,1600.0,302232.0
"2021-07",80.0,91501.0,17.0,302249.0
"2021-08",1867.0,93368.0,10414.0,312663.0
"2021-09",161.0,93529.0,986.0,313649.0
"2021-10",22.0,93551.0,426.0,314075.0
"2021-11",2070.0,95621.0,143.0,314218.0
"2021-12",1200.0,96821.0,9205.0,323423.0
"2022-01",510.0,97331.0,4201.0,327624.0
"2022-02",3685.0,101016.0,3811.0,331435.0
"2022-03",5714.0,106730.0,18725.0,350160.0
"2022-04",4128.0,110858.0,136262.0,486422.0
"2022-05",12885.0,123743.0,148454.0,634876.0
"2022-06",17394.0,141137.0,206731.0,841607.0
"2022-07",16223.0,157360.0,65845.0,907452.0
"2022-08",12975.0,170335.0,47562.0,955014.0
"2022-09",5681.0,176016.0,170837.0,1125851.0
"2022-10",17406.0,193422.0,35868.0,1161719.0
"2022-11",53392.0,246814.0,122350.0,1284069.0
"2022-12",10329.0,257143.0,46454.0,1330523.0
"2023-01",84714.0,341857.0,138147.0,1468670.0
"2023-02",36493.0,378350.0,106316.0,1574986.0
"2023-03",4470.0,382820.0,20076.0,1595062.0
